Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	0.245880294	0.6942502420000001	1950.0	9600.0	NOCA
2	Spectrogram 1	1	0.25070147600000003	1.3740369369999998	5512.5	8887.5	BWWA
3	Spectrogram 1	1	0.5978265970000001	0.90638226	3112.5	4968.7	EATO
4	Spectrogram 1	1	0.887097531	1.123335461	2700.0	3768.7	EATO
5	Spectrogram 1	1	1.340288661	2.6323654999999997	2400.0	9281.2	EATO
6	Spectrogram 1	1	2.039360085	3.326615742	1837.5	7687.5	EATO
7	Spectrogram 1	1	2.087571908	5.384052589	993.7	2306.2	NOCA
8	Spectrogram 1	1	4.072691022	5.538330421	1706.2	4537.5	NOCA
9	Spectrogram 1	1	4.472502569	7.056656247	956.2	2306.2	NOCA
10	Spectrogram 1	1	4.487312694	6.155441747	2006.2	7612.5	EATO
11	Spectrogram 1	1	6.062284882999999	6.92045532	3037.5	7275.0	COYE
12	Spectrogram 1	1	6.42387355	7.764162211	5118.7	9337.5	BWWA
13	Spectrogram 1	1	6.450390053	7.077143743	2418.7	5381.2	EATO
14	Spectrogram 1	1	8.072024718	10.723674947000001	1668.7	4987.5	NOCA
15	Spectrogram 1	1	8.682592227999999	12.385260184000002	1387.5	2343.7	NOCA
16	Spectrogram 1	1	9.060367076	10.4922582	2550.0	9150.0	EATO
17	Spectrogram 1	1	10.727802831	12.048806763	1781.2	7800.0	EATO
18	Spectrogram 1	1	11.986131394000001	12.265759964	2981.2	4950.0	EATO
19	Spectrogram 1	1	12.369496238	13.584434160999999	1682.9	5480.1	NOCA
20	Spectrogram 1	1	12.721442540999998	16.219129396	712.5	2268.7	NOCA
21	Spectrogram 1	1	12.874258261	14.069911455	5362.5	9037.5	BWWA
22	Spectrogram 1	1	13.636005054000002	15.270385830999999	2981.2	7462.5	EATO
23	Spectrogram 1	1	13.660110965	16.23944346	1725.0	4443.7	NOCA
24	Spectrogram 1	1	15.193246915	16.302118829	3093.7	7725.0	COYE
25	Spectrogram 1	1	15.683799537	16.879452731	1668.7	7462.5	EATO
26	Spectrogram 1	1	16.466721783	19.923509445	1050.0	2400.0	NOCA
27	Spectrogram 1	1	17.888970542	19.224438020999997	2418.7	8362.5	EATO
28	Spectrogram 1	1	18.028784827	19.690189962999998	4660.3	9037.5	BWWA
29	Spectrogram 1	1	19.591877206	23.325190019	1650.0	4612.5	NOCA
30	Spectrogram 1	1	19.885969323	21.187688526	1856.2	7687.5	EATO
31	Spectrogram 1	1	20.789248163	22.336847661	1012.5	2025.0	NOCA
32	Spectrogram 1	1	21.811338796999998	23.455361939	1875.0	7462.5	EATO
33	Spectrogram 1	1	22.760418398000002	26.766820835	1087.5	3093.7	NOCA
