Filename,Start Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species eBird Code
NES_001_S01_20190914_043000.flac,29.7,33.0,0,3098,compot1
NES_001_S01_20190914_043000.flac,53.8,57.0,0,4084,compot1
NES_001_S01_20190914_043000.flac,75.4,78.4,0,3662,compot1
NES_001_S01_20190914_043000.flac,99.1,102.1,0,3521,compot1
NES_001_S01_20190914_043000.flac,122.7,126.4,0,3239,compot1
NES_001_S01_20190914_043000.flac,152.6,156.2,0,3380,compot1
NES_001_S01_20190914_043000.flac,172.7,176.3,0,3662,compot1
NES_001_S01_20190914_043000.flac,192.8,196.4,0,2676,compot1
NES_001_S01_20190914_043000.flac,215.1,218.9,0,3662,compot1
NES_001_S01_20190914_043000.flac,239.5,243.7,0,3098,compot1
NES_001_S01_20190914_043000.flac,261.3,264.8,0,2957,compot1
NES_001_S01_20190914_043000.flac,287.0,290.4,0,2676,compot1
NES_001_S01_20190914_043000.flac,310.2,313.8,0,3098,compot1
NES_001_S01_20190914_043000.flac,333.3,337.1,0,2816,compot1
NES_001_S01_20190914_043000.flac,359.5,363.7,0,2535,compot1
NES_001_S01_20190914_043000.flac,383.4,387.0,0,2676,compot1
NES_001_S01_20190914_043000.flac,406.8,411.1,0,2676,compot1
NES_001_S01_20190914_043000.flac,435.6,439.2,0,2253,compot1
NES_001_S01_20190914_043000.flac,458.8,462.5,0,2535,compot1
NES_001_S01_20190914_043000.flac,483.5,486.4,0,2957,compot1
NES_001_S01_20190914_043000.flac,508.4,512.0,0,2535,compot1
NES_001_S01_20190914_043000.flac,534.1,538.1,0,2676,compot1
NES_001_S01_20190914_043000.flac,559.3,562.8,0,2253,compot1
NES_001_S01_20190914_043000.flac,590.1,593.0,0,2253,compot1
NES_001_S01_20190914_043000.flac,613.6,617.0,0,2253,compot1
NES_001_S01_20190914_043000.flac,640.8,644.4,0,2535,compot1
NES_001_S01_20190914_043000.flac,681.2,684.9,0,2253,compot1
NES_001_S01_20190914_043000.flac,727.6,731.3,0,3098,compot1
NES_001_S01_20190914_043000.flac,754.2,757.9,0,3521,compot1
NES_001_S01_20190914_043000.flac,778.9,781.8,0,2394,compot1
NES_001_S01_20190914_043000.flac,811.3,814.9,0,2816,compot1
NES_001_S01_20190914_043000.flac,843.7,847.4,0,2535,compot1
NES_001_S01_20190914_043000.flac,871.3,874.9,0,2676,compot1
