Filename,Start Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species eBird Code
PER_001_S01_20190116_100007Z.flac,539.0,541.4,1250,2468,blfant1
PER_001_S01_20190116_100007Z.flac,520.5,644.6,961,2884,grasal3
PER_001_S01_20190116_100007Z.flac,596.9,598.8,1437,2375,greant1
PER_001_S01_20190116_100007Z.flac,655.0,656.8,812,1593,undtin1
PER_001_S01_20190116_100007Z.flac,466.3,468.2,552,2658,butwoo1
PER_001_S01_20190116_100007Z.flac,502.4,504.6,1346,2571,blfant1
PER_001_S01_20190116_100007Z.flac,508.9,511.1,775,2408,butwoo1
PER_001_S01_20190116_100007Z.flac,264.2,265.4,646,4875,????
PER_001_S01_20190116_100007Z.flac,269.1,270.8,2261,3571,????
PER_001_S01_20190116_100007Z.flac,426.1,429.7,1459,2221,blfant1
PER_001_S01_20190116_100007Z.flac,431.6,435.9,1459,2416,grasal3
PER_001_S01_20190116_100007Z.flac,440.7,444.5,1239,2423,grasal3
PER_001_S01_20190116_100007Z.flac,515.2,519.4,1307,2286,????
PER_001_S01_20190116_100007Z.flac,522.3,524.9,1508,2189,blfant1
PER_001_S01_20190116_100007Z.flac,519.3,522.1,875,1621,undtin1
PER_001_S01_20190116_100007Z.flac,553.5,555.1,178,551,bucmot4
PER_001_S01_20190116_100007Z.flac,556.0,559.5,259,681,bucmot4
PER_001_S01_20190116_100007Z.flac,560.1,562.5,1589,2075,blfant1
PER_001_S01_20190116_100007Z.flac,571.8,575.3,1281,2205,butwoo1
PER_001_S01_20190116_100007Z.flac,579.7,581.8,1686,2011,blfant1
PER_001_S01_20190116_100007Z.flac,619.9,622.3,973,1394,undtin1
PER_001_S01_20190116_100007Z.flac,630.3,633.0,956,1394,undtin1
PER_001_S01_20190116_100007Z.flac,627.9,629.6,259,616,bucmot4
PER_001_S01_20190116_100007Z.flac,636.0,638.3,1605,2108,blfant1
PER_001_S01_20190116_100007Z.flac,645.1,647.5,1076,2167,butwoo1
PER_001_S01_20190116_100007Z.flac,655.9,658.0,1582,2098,blfant1
PER_001_S01_20190116_100007Z.flac,661.5,664.8,1100,1433,undtin1
PER_001_S01_20190116_100007Z.flac,668.2,671.2,940,1433,undtin1
PER_001_S01_20190116_100007Z.flac,673.5,676.6,1571,2121,blfant1
PER_001_S01_20190116_100007Z.flac,679.8,688.8,1559,1789,cintin1
PER_001_S01_20190116_100007Z.flac,689.9,693.3,1272,2236,butwoo1
PER_001_S01_20190116_100007Z.flac,685.8,691.2,344,653,bucmot4
PER_001_S01_20190116_100007Z.flac,695.3,697.3,1423,2269,blfant1
PER_001_S01_20190116_100007Z.flac,699.6,705.2,1617,1869,cintin1
PER_001_S01_20190116_100007Z.flac,702.9,711.7,1615,3291,elewoo1
PER_001_S01_20190116_100007Z.flac,729.2,731.0,1112,1479,undtin1
PER_001_S01_20190116_100007Z.flac,737.2,740.5,2740,3600,????
PER_001_S01_20190116_100007Z.flac,758.4,763.5,1353,2213,butwoo1
PER_001_S01_20190116_100007Z.flac,773.9,779.2,1410,2110,butwoo1
