Filename,Start Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species eBird Code
SNE_001_20180509_050002.flac,523.2,545.4,912,4060,amerob
SNE_001_20180509_050002.flac,675.2,780.3,1417,4660,amerob
SNE_001_20180509_050002.flac,727.5,728.6,3123,4756,herthr
SNE_001_20180509_050002.flac,750.2,751.2,3099,4492,herthr
SNE_001_20180509_050002.flac,753.2,754.6,1921,4636,herthr
SNE_001_20180509_050002.flac,782.5,786.1,2066,4492,herthr
SNE_001_20180509_050002.flac,790.2,792.4,3147,4828,herthr
SNE_001_20180509_050002.flac,795.7,799.1,2114,4468,herthr
SNE_001_20180509_050002.flac,801.6,803.8,2955,4468,herthr
SNE_001_20180509_050002.flac,804.7,808.2,1849,4276,herthr
SNE_001_20180509_050002.flac,780.7,811.6,1345,4420,amerob
SNE_001_20180509_050002.flac,811.9,816.6,2210,4348,herthr
SNE_001_20180509_050002.flac,824.4,829.9,2186,4828,herthr
SNE_001_20180509_050002.flac,831.3,837.3,2114,4324,herthr
SNE_001_20180509_050002.flac,811.9,839.0,1057,4564,amerob
SNE_001_20180509_050002.flac,839.4,844.4,1970,4324,herthr
SNE_001_20180509_050002.flac,846.8,855.9,1825,4540,herthr
SNE_001_20180509_050002.flac,839.2,865.7,1201,4468,amerob
SNE_001_20180509_050002.flac,859.9,865.6,2426,6534,herthr
SNE_001_20180509_050002.flac,868.0,873.1,1441,5021,herthr
SNE_001_20180509_050002.flac,875.0,881.6,1753,4564,herthr
SNE_001_20180509_050002.flac,883.8,888.6,1921,4516,herthr
SNE_001_20180509_050002.flac,890.7,895.4,1945,4276,herthr
SNE_001_20180509_050002.flac,898.2,903.1,1970,4612,herthr
SNE_001_20180509_050002.flac,904.7,909.7,2114,4444,herthr
SNE_001_20180509_050002.flac,910.7,916.2,1873,4276,herthr
SNE_001_20180509_050002.flac,866.4,919.7,1201,5285,amerob
SNE_001_20180509_050002.flac,920.2,973.5,2378,5621,herthr
SNE_001_20180509_050002.flac,927.5,928.9,3795,4564,herthr
SNE_001_20180509_050002.flac,920.3,973.7,1225,4180,amerob
SNE_001_20180509_050002.flac,1023.8,1025.9,3219,4804,herthr
SNE_001_20180509_050002.flac,974.4,1027.6,2666,5405,herthr
SNE_001_20180509_050002.flac,974.1,1027.7,1297,4564,amerob
SNE_001_20180509_050002.flac,1029.0,1031.0,3339,4756,herthr
SNE_001_20180509_050002.flac,1028.6,1081.4,2594,6030,herthr
SNE_001_20180509_050002.flac,1028.1,1081.7,1393,4756,amerob
SNE_001_20180509_050002.flac,1086.0,1091.5,2162,5309,herthr
SNE_001_20180509_050002.flac,1092.5,1098.2,2090,5717,herthr
SNE_001_20180509_050002.flac,1099.2,1103.2,2378,5285,herthr
SNE_001_20180509_050002.flac,1104.9,1110.4,2234,5165,herthr
SNE_001_20180509_050002.flac,1112.3,1119.2,2210,4948,herthr
SNE_001_20180509_050002.flac,1120.8,1125.7,2306,4828,herthr
SNE_001_20180509_050002.flac,1127.2,1134.9,2378,5933,herthr
SNE_001_20180509_050002.flac,1082.1,1135.3,1681,4180,amerob
SNE_001_20180509_050002.flac,1141.9,1147.9,2138,5741,herthr
SNE_001_20180509_050002.flac,1149.0,1154.0,2306,5765,herthr
SNE_001_20180509_050002.flac,1155.0,1160.2,2090,5093,herthr
SNE_001_20180509_050002.flac,1161.1,1166.8,1970,5117,herthr
SNE_001_20180509_050002.flac,1167.6,1173.4,1801,5093,herthr
SNE_001_20180509_050002.flac,1174.7,1180.6,1921,5237,herthr
SNE_001_20180509_050002.flac,1181.2,1186.6,1970,5285,herthr
SNE_001_20180509_050002.flac,1135.4,1189.7,1273,4084,amerob
SNE_001_20180509_050002.flac,1232.3,1233.2,3531,4396,herthr
SNE_001_20180509_050002.flac,1190.2,1243.7,2714,6078,herthr
SNE_001_20180509_050002.flac,1187.5,1243.7,1273,4060,amerob
SNE_001_20180509_050002.flac,1244.0,1297.7,2714,6198,herthr
SNE_001_20180509_050002.flac,1244.0,1297.7,1489,4276,amerob
SNE_001_20180509_050002.flac,1297.9,1351.7,1297,4156,amerob
SNE_001_20180509_050002.flac,1298.0,1351.7,2330,6126,herthr
SNE_001_20180509_050002.flac,1352.4,1408.8,2690,6438,herthr
SNE_001_20180509_050002.flac,1352.7,1408.8,1585,3939,amerob
SNE_001_20180509_050002.flac,1409.3,1462.8,2570,6414,herthr
SNE_001_20180509_050002.flac,1409.6,1462.8,1585,3964,amerob
SNE_001_20180509_050002.flac,1463.0,1476.0,2498,5453,herthr
SNE_001_20180509_050002.flac,1463.3,1516.8,1105,3988,amerob
SNE_001_20180509_050002.flac,1509.8,1516.8,2738,5261,herthr
SNE_001_20180509_050002.flac,1561.3,1569.0,2738,5021,herthr
SNE_001_20180509_050002.flac,1517.4,1570.8,1441,3939,amerob
SNE_001_20180509_050002.flac,1569.7,1624.5,3003,5237,herthr
SNE_001_20180509_050002.flac,1570.2,1624.8,1273,3867,amerob
SNE_001_20180509_050002.flac,1625.5,1678.8,1345,3435,amerob
SNE_001_20180509_050002.flac,1625.0,1648.7,2906,5021,herthr
SNE_001_20180509_050002.flac,1649.7,1678.8,2402,4828,herthr
SNE_001_20180509_050002.flac,1679.3,1732.8,1345,3651,amerob
SNE_001_20180509_050002.flac,1678.8,1732.8,2690,5165,herthr
SNE_001_20180509_050002.flac,1732.8,1786.3,1177,4060,amerob
SNE_001_20180509_050002.flac,1733.0,1786.8,2714,5213,herthr
SNE_001_20180509_050002.flac,1786.6,1840.8,1321,4036,amerob
SNE_001_20180509_050002.flac,1787.2,1840.8,2522,5189,herthr
SNE_001_20180509_050002.flac,1841.2,1894.8,2642,5621,herthr
SNE_001_20180509_050002.flac,1841.1,1894.7,1105,3939,amerob
SNE_001_20180509_050002.flac,1895.2,1948.8,1009,3867,amerob
SNE_001_20180509_050002.flac,1894.9,1948.8,2594,7399,herthr
SNE_001_20180509_050002.flac,1948.8,2002.7,936,3603,amerob
SNE_001_20180509_050002.flac,1948.9,2002.8,2162,6726,herthr
SNE_001_20180509_050002.flac,2002.7,2056.8,936,3891,amerob
SNE_001_20180509_050002.flac,2003.1,2056.8,2834,7063,herthr
SNE_001_20180509_050002.flac,2041.5,2047.3,5945,8459,gockin
SNE_001_20180509_050002.flac,2048.8,2052.5,6047,8052,gockin
SNE_001_20180509_050002.flac,2053.6,2056.8,6217,8255,gockin
SNE_001_20180509_050002.flac,2057.3,2110.8,1223,4212,amerob
SNE_001_20180509_050002.flac,2057.6,2110.8,2650,5775,herthr
SNE_001_20180509_050002.flac,2062.0,2066.7,6115,7610,gockin
SNE_001_20180509_050002.flac,2070.4,2075.7,6183,7882,gockin
SNE_001_20180509_050002.flac,2080.5,2084.9,6251,7780,gockin
SNE_001_20180509_050002.flac,2096.6,2100.8,6183,8154,gockin
SNE_001_20180509_050002.flac,2107.8,2110.8,6387,7848,gockin
SNE_001_20180509_050002.flac,2111.4,2164.7,3499,6285,herthr
SNE_001_20180509_050002.flac,2114.3,2119.7,6183,8459,gockin
SNE_001_20180509_050002.flac,2122.3,2127.2,6217,7848,gockin
SNE_001_20180509_050002.flac,2111.2,2164.8,1053,4212,amerob
SNE_001_20180509_050002.flac,2151.9,2155.2,6081,7712,gockin
SNE_001_20180509_050002.flac,2114.1,2116.2,3261,6404,herwar
SNE_001_20180509_050002.flac,2120.1,2122.3,3465,5690,herwar
SNE_001_20180509_050002.flac,2107.2,2110.0,3482,5894,herwar
SNE_001_20180509_050002.flac,2133.0,2135.1,3601,5809,herwar
SNE_001_20180509_050002.flac,2144.4,2146.1,3754,5622,herwar
SNE_001_20180509_050002.flac,2149.1,2151.5,3465,5554,herwar
SNE_001_20180509_050002.flac,2165.0,2218.6,2884,6632,herthr
SNE_001_20180509_050002.flac,2165.2,2218.8,1755,4133,amerob
SNE_001_20180509_050002.flac,2179.8,2181.7,3664,5201,herwar
SNE_001_20180509_050002.flac,2173.2,2175.3,3568,5538,herwar
SNE_001_20180509_050002.flac,2192.0,2194.0,3664,4721,herwar
SNE_001_20180509_050002.flac,2186.2,2188.2,3784,4961,herwar
SNE_001_20180509_050002.flac,2212.3,2214.3,3544,5201,herwar
SNE_001_20180509_050002.flac,2219.0,2272.8,1225,4036,amerob
SNE_001_20180509_050002.flac,2218.9,2272.8,2930,6534,herthr
SNE_001_20180509_050002.flac,2272.9,2326.8,985,3915,amerob
SNE_001_20180509_050002.flac,2273.5,2326.8,2498,6390,herthr
SNE_001_20180509_050002.flac,2285.0,2286.6,3363,5765,herwar
SNE_001_20180509_050002.flac,2306.2,2307.5,3243,5717,herwar
SNE_001_20180509_050002.flac,2326.9,2380.8,624,4252,amerob
SNE_001_20180509_050002.flac,2327.1,2380.8,2474,6390,herthr
SNE_001_20180509_050002.flac,2381.4,2434.8,840,4684,amerob
SNE_001_20180509_050002.flac,2381.6,2434.8,3075,6438,herthr
SNE_001_20180509_050002.flac,2429.7,2488.8,1225,4084,amerob
SNE_001_20180509_050002.flac,2474.6,2481.6,2114,3988,westan
SNE_001_20180509_050002.flac,2481.6,2488.8,2738,4804,herthr
SNE_001_20180509_050002.flac,2429.6,2442.3,2546,4876,herthr
SNE_001_20180509_050002.flac,2323.6,2326.3,2879,5495,herwar
SNE_001_20180509_050002.flac,2343.5,2346.5,3049,4884,herwar
SNE_001_20180509_050002.flac,2358.5,2360.5,3661,6209,herwar
SNE_001_20180509_050002.flac,2363.4,2366.7,3491,6413,herwar
SNE_001_20180509_050002.flac,2398.7,2401.2,3151,6209,herwar
SNE_001_20180509_050002.flac,2344.5,2402.3,6481,9266,herwar
SNE_001_20180509_050002.flac,2403.3,2406.7,3049,6311,herwar
SNE_001_20180509_050002.flac,2410.6,2413.7,2879,6481,herwar
SNE_001_20180509_050002.flac,2435.5,2437.8,3729,6548,herwar
SNE_001_20180509_050002.flac,2417.7,2420.1,3457,6481,herwar
SNE_001_20180509_050002.flac,2423.8,2427.6,3117,6650,herwar
SNE_001_20180509_050002.flac,2429.2,2432.8,3151,6379,herwar
SNE_001_20180509_050002.flac,2440.8,2444.0,3525,6650,herwar
SNE_001_20180509_050002.flac,2447.3,2450.6,3457,6616,herwar
SNE_001_20180509_050002.flac,2453.0,2455.8,3389,6515,herwar
