Filename,Start Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species eBird Code
SSW_001_20170225_010000Z.flac,47.4,51.3,0,2647,cangoo
SSW_001_20170225_010000Z.flac,70.6,114.8,490,3529,cangoo
SSW_001_20170225_010000Z.flac,119.0,120.6,0,4509,cangoo
SSW_001_20170225_010000Z.flac,155.4,157.2,0,4019,cangoo
SSW_001_20170225_010000Z.flac,674.5,690.8,196,4019,cangoo
SSW_001_20170225_010000Z.flac,894.5,895.0,0,3235,cangoo
SSW_001_20170225_010000Z.flac,907.1,907.5,392,3529,cangoo
SSW_001_20170225_010000Z.flac,2389.7,2411.7,98,4313,cangoo
SSW_001_20170225_010000Z.flac,3355.8,3356.2,0,2352,cangoo
SSW_001_20170225_010000Z.flac,3462.6,3464.2,0,2352,cangoo
SSW_001_20170225_010000Z.flac,3466.9,3473.6,0,3823,cangoo
SSW_001_20170225_010000Z.flac,3475.3,3483.8,0,2156,cangoo
SSW_001_20170225_010000Z.flac,3594.8,3598.9,0,2941,cangoo
SSW_002_20170225_020001Z.flac,0.2,4.4,0,3619,cangoo
SSW_002_20170225_020001Z.flac,43.7,45.7,0,3255,cangoo
SSW_002_20170225_020001Z.flac,294.2,297.4,0,2945,cangoo
SSW_002_20170225_020001Z.flac,328.7,331.0,0,3565,cangoo
SSW_002_20170225_020001Z.flac,779.8,780.6,155,5969,cangoo
SSW_002_20170225_020001Z.flac,787.7,816.4,310,3565,cangoo
SSW_002_20170225_020001Z.flac,826.2,828.8,0,3720,cangoo
SSW_002_20170225_020001Z.flac,837.3,838.4,0,3876,cangoo
SSW_002_20170225_020001Z.flac,1408.1,1412.0,0,4341,cangoo
SSW_002_20170225_020001Z.flac,1419.3,1419.6,0,3410,cangoo
SSW_002_20170225_020001Z.flac,1632.6,1640.4,0,2945,cangoo
SSW_002_20170225_020001Z.flac,2846.8,2852.1,0,3410,cangoo
SSW_002_20170225_020001Z.flac,3134.2,3152.4,77,3023,cangoo
SSW_002_20170225_020001Z.flac,3460.9,3462.5,0,3876,cangoo
SSW_002_20170225_020001Z.flac,3466.6,3469.9,0,3953,cangoo
SSW_002_20170225_020001Z.flac,3477.5,3478.1,0,2403,cangoo
SSW_002_20170225_020001Z.flac,3486.5,3489.9,0,3333,cangoo
SSW_003_20170225_030002Z.flac,221.0,224.3,0,3529,cangoo
SSW_003_20170225_030002Z.flac,258.4,265.0,0,3431,cangoo
SSW_003_20170225_030002Z.flac,1234.8,1273.0,98,4019,cangoo
SSW_003_20170225_030002Z.flac,1281.6,1282.4,0,3431,cangoo
SSW_003_20170225_030002Z.flac,1296.5,1298.4,0,3921,cangoo
SSW_003_20170225_030002Z.flac,1300.3,1313.3,196,4117,cangoo
SSW_003_20170225_030002Z.flac,1363.3,1368.8,196,2843,cangoo
SSW_003_20170225_030002Z.flac,1373.4,1374.0,0,2843,cangoo
SSW_003_20170225_030002Z.flac,2629.3,2640.2,196,2941,cangoo
SSW_003_20170225_030002Z.flac,2650.4,2652.2,0,4215,cangoo
SSW_003_20170225_030002Z.flac,2670.3,2679.6,0,4019,cangoo
SSW_003_20170225_030002Z.flac,2680.8,2688.3,0,2941,cangoo
