class number,class name,English_name,Scientific_name,type
none,Empty,Empty,noise sample,noise
1,Aegcau_call,Long-tailed Tit,Aegithalos caudatus,bird
2,Alaarv_song,Eurasian Skylark,Alauda arvensis,bird
3,Anttri_song,Tree Pipit,Anthus trivialis,bird
4,Butbut_call,Common Buzzard,Buteo buteo,bird
5,Carcan_call,Common Linnet,Linaria cannabina,bird
6,Carcan_song,Common Linnet,Linaria cannabina,bird
7,Carcar_call,European Goldfinch,Carduelis carduelis,bird
8,Carcar_song,European Goldfinch,Carduelis carduelis,bird
9,Cerbra_call,Short-toed Treecreeper,Certhia brachydactyla,bird
10,Cerbra_song,Short-toed Treecreeper,Certhia brachydactyla,bird
11,Cetcet_song,Cetti's Warbler,Cettia cetti,bird
12,Chlchl_call,European Greenfinch,Chloris chloris,bird
13,Cicatr_song,Black Cicada,Cicadatra atra,insect
14,Cicorn_song,Grey Cicada,Cicada orni,insect
15,Cisjun_song,Zitting Cisticola,Cisticola juncidis,bird
16,Colpal_song,Common Wood Pigeon,Columba palumbus,bird
17,Corcor_call,Carrion Crow,Corvus corone,bird
18,Denmaj_call,Great Spotted Woodpecker,Dendrocopos major,bird
19,Denmaj_drum,Great Spotted Woodpecker,Dendrocopos major,bird
20,Embcir_call,Cirl Bunting,Emberiza cirlus,bird
21,Embcir_song,Cirl Bunting,Emberiza cirlus,bird
22,Erirub_call,European Robin,Erithacus rubecula,bird
23,Erirub_song,European Robin,Erithacus rubecula,bird
24,Fricoe_call,Common Chaffinch,Fringilla coelebs,bird
25,Fricoe_song,Common Chaffinch,Fringilla coelebs,bird
26,Galcri_call,Crested Lark,Galerida cristata,bird
27,Galcri_song,Crested Lark,Galerida cristata,bird
28,Galthe_call,Thekla Lark,Galerida theklae,bird
29,Galthe_song,Thekla Lark,Galerida theklae,bird
30,Gargla_call,Eurasian Jay,Garrulus glandarius,bird
31,Hirrus_call,Barn Swallow,Hirundo rustica,bird
32,Jyntor_song,Eurasian Wryneck,Jynx torquilla,bird
33,Lopcri_call,European Crested Tit,Lophophanes cristatus,bird
34,Loxcur_call,Red Crossbill,Loxia curvirostra,bird
35,Lularb_song,Woodlark,lullula arborea,bird
36,Lusmeg_call,Common Nightingale,Luscinia megarhynchos,bird
37,Lusmeg_song,Common Nightingale,Luscinia megarhynchos,bird
38,Lyrple_song,Common Cicada,Lyristes plebejus,insect
39,Motcin_call,Grey Wagtail,Motacilla cinerea,bird
40,Musstr_call,Spotted Flycatcher,Muscicapa striata,bird
41,Oriori_call,Eurasian Golden Oriole,Oriolus oriolus,bird
42,Oriori_song,Eurasian Golden Oriole,Oriolus oriolus,bird
43,Parate_call,Coal Tit,Periparus ater,bird
44,Parate_song,Coal Tit,Periparus ater,bird
45,Parcae_call,Blue Tit,Cyanistes caeruleus,bird
46,Parcae_song,Blue Tit,Cyanistes caeruleus,bird
47,Parmaj_call,Great Tit,Parus major,bird
48,Parmaj_song,Great Tit,Parus major,bird
49,Pasdom_call,House Sparrow,Passer domesticus,bird
50,Pelgra_call,Graf's Hybrid Frog,Pelophylax kl. grafi,amphibian
51,Petpet_call,Rock Sparrow,Petronia petronia,bird
52,Petpet_song,Rock Sparrow,Petronia petronia,bird
53,Phofem_song,Fallow Bush-cricket,Pholidoptera femorata,insect
54,Phycol_call,Common Chifchaff,Phylloscopus collybita,bird
55,Phycol_song,Common Chifchaff,Phylloscopus collybita,bird
56,Picpic_call,Eurasian Magpie,Pica pica,bird
57,Plaaff_song,Coastal Bush-cricket,Platycleis affinis,insect
58,Plasab_song,Sand Bush-Cricket,Platycleis sabulosa,insect
59,Poepal_call,Marsh Tit,Poecile palustris,bird
60,Poepal_song,Marsh Tit,Poecile palustris,bird
61,Prumod_song,Dunnock,Prunella modularis,bird
62,Ptehey_song,Marsh Cricket,Pteronemobius heydenii,insect
63,Pyrpyr_call,Eurasian Bullfinch,Pyrrhula pyrrhula,bird
64,Regign_call,Common Firecrest,Regulus ignicapillus,bird
65,Regign_song,Common Firecrest,Regulus ignicapillus,bird
66,Serser_call,European Serin,Serinus serinus,bird
67,Serser_song,European Serin,Serinus serinus,bird
68,Siteur_call,Eurasian Nuthatch,Sitta europaea,bird
69,Siteur_song,Eurasian Nuthatch,Sitta europaea,bird
70,Strdec_song,Eurasian Collared Dove,Streptopelia decaocto,bird
71,Strtur_song,European Turtle Dove,Streptopelia turtur,bird
72,Stuvul_call,Common Starling,Sturnus vulgaris,bird
73,Sylatr_call,Eurasian Blackcap,Sylvia atricapilla,bird
74,Sylatr_song,Eurasian Blackcap,Sylvia atricapilla,bird
75,Sylcan_call,Subalpine Warbler,Sylvia cantillans,bird
76,Sylcan_song,Subalpine Warbler,Sylvia cantillans,bird
77,Sylmel_call,Mediterranean Warbler,Sylvia melanocephala,bird
78,Sylmel_song,Mediterranean Warbler,Sylvia melanocephala,bird
79,Sylund_call,Dartford Warbler,Sylvia undata,bird
80,Sylund_song,Dartford Warbler,Sylvia undata,bird
81,Tetpyg_song,Pygmy Cicada,Tettigettula pygmea,insect
82,Tibtom_song,Tomentous Cicada,Tibicina tomentosa,insect
83,Trotro_song,Winter Wren,Troglodytes troglodytes,bird
84,Turmer_call,Common Blackbird,Turdus merula,bird
85,Turmer_song,Common Blackbird,Turdus merula,bird
86,Turphi_call,Song Thrush,Turdus philomelos,bird
87,Turphi_song,Song Thrush,Turdus philomelos,bird
