Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	0.16075735300000002	3.198225228	1799.6	4470.6	SCTA
2	Spectrogram 1	1	1.222601972	3.122077009	3788.7	5986.1	BTNW
3	Spectrogram 1	1	3.862406923	4.928481999	2216.4	9225.4	AMRE
4	Spectrogram 1	1	4.0456031710000016	7.865705527999999	1667.0	3959.1	NOCA
5	Spectrogram 1	1	8.367532007000001	9.166823712000001	1336.4	3150.0	WOTH
6	Spectrogram 1	1	8.870897122	11.827986322000001	1780.7	5228.4	SCTA
7	Spectrogram 1	1	9.865054435	11.531854355999998	3504.5	5967.1	BTNW
8	Spectrogram 1	1	11.138421887	12.217188333	1420.7	5202.3	WOTH
9	Spectrogram 1	1	12.597927974000001	15.614243565999999	1591.2	3921.3	NOCA
10	Spectrogram 1	1	14.185054077	14.514761905	906.8	1909.1	RBWO
11	Spectrogram 1	1	15.329040329000001	15.668739302999999	763.6	1622.7	RBWO
12	Spectrogram 1	1	15.580399912999999	16.532252659	1837.5	3239.3	WOTH
13	Spectrogram 1	1	16.877188161	17.879191903	1136.6	3258.2	WOTH
14	Spectrogram 1	1	17.612673134	19.529069997	3637.1	6099.7	BTNW
15	Spectrogram 1	1	19.668675066	20.468231374000002	1610.2	3258.2	WOTH
16	Spectrogram 1	1	19.977681309	23.653948139	1989.0	3902.3	SCTA
17	Spectrogram 1	1	23.708575201	26.661433944000002	1667.0	3997.0	NOCA
18	Spectrogram 1	1	25.635690561	26.729721080999997	1575.0	3293.2	WOTH
19	Spectrogram 1	1	26.726729330999998	28.715043957	3618.2	5967.1	BTNW
20	Spectrogram 1	1	27.914199436	30.905132288	1932.2	5133.6	SCTA
21	Spectrogram 1	1	28.815286701999998	29.855979039	3315.1	8713.9	AMRE
22	Spectrogram 1	1	31.093478334	32.94218789	1591.2	3997.0	NOCA
23	Spectrogram 1	1	33.723901571999995	34.32039596	2178.5	5550.4	REVI
24	Spectrogram 1	1	34.701137059000004	36.422932916	3542.4	6005.0	BTNW
25	Spectrogram 1	1	34.718058885	36.232562365999996	2405.8	3940.2	SCTA
26	Spectrogram 1	1	35.438494615	36.197821734	1479.5	3579.5	WOTH
27	Spectrogram 1	1	36.837517668000004	37.763987674	4167.5	8789.7	AMRE
28	Spectrogram 1	1	37.349585544	37.717635273	833.5	1629.1	RBWO
29	Spectrogram 1	1	37.59292927	39.37395152	1648.1	4034.9	NOCA
30	Spectrogram 1	1	39.46481387	41.076617854	1951.2	5323.1	SCTA
31	Spectrogram 1	1	40.540824926999996	41.068931366	1887.2	5264.2	REVI
32	Spectrogram 1	1	42.201917722	45.133624181	2216.4	3978.1	SCTA
33	Spectrogram 1	1	42.451514664	43.280684168	1780.7	3959.1	WOTH
34	Spectrogram 1	1	43.627581613000004	44.63019984	4224.4	8808.6	AMRE
35	Spectrogram 1	1	43.83454140600001	44.40434046	1986.5	4469.6	REVI
36	Spectrogram 1	1	45.097388608	46.311529666999995	3788.7	6024.0	BTNW
37	Spectrogram 1	1	45.837718521999996	47.31837835	1193.4	3750.8	WOTH
38	Spectrogram 1	1	47.865761287	48.525712524	2121.6	5531.4	REVI
39	Spectrogram 1	1	49.096824172	50.040216006	1496.5	3201.4	WOTH
40	Spectrogram 1	1	49.735623127	51.186669758	1534.4	3921.3	NOCA
41	Spectrogram 1	1	50.37757593	50.557416563000004	286.4	1336.4	RBWO
42	Spectrogram 1	1	52.467944741000004	53.415567031	1704.9	3599.2	WOTH
43	Spectrogram 1	1	52.599088897	53.402875661	4565.3	8827.6	AMRE
44	Spectrogram 1	1	52.895220861999995	53.59324621	2708.9	4053.9	SCTA
45	Spectrogram 1	1	53.576324383	55.36157709	1534.4	3978.1	NOCA
46	Spectrogram 1	1	55.663778048999994	56.645243993	1970.1	4660.1	SCTA
47	Spectrogram 1	1	55.74290177899999	56.271008218999995	1887.2	4668.2	REVI
48	Spectrogram 1	1	56.708700842	57.584405368999995	1648.1	3693.9	WOTH
49	Spectrogram 1	1	58.147056103999994	58.967764693999996	4243.3	8922.3	AMRE
50	Spectrogram 1	1	59.252859318	60.636218643	1553.4	3769.7	WOTH
51	Spectrogram 1	1	59.286702971000004	59.70551818	985.1	1723.8	RBWO
52	Spectrogram 1	1	60.268168915	60.62775773	947.2	1818.6	RBWO
53	Spectrogram 1	1	60.835050106000004	61.951890662	4565.3	7028.0	DOWO
54	Spectrogram 1	1	60.936581065	62.852977928	1629.1	3902.3	NOCA
55	Spectrogram 1	1	61.988554325	63.871885403	3807.6	5967.1	BTNW
56	Spectrogram 1	1	62.782898702	65.52846506899999	1818.6	4148.6	SCTA
57	Spectrogram 1	1	63.100182951	64.02242250100001	3731.8	8695.0	AMRE
58	Spectrogram 1	1	65.858440688	67.71984161399999	1610.2	2993.0	NOCA
59	Spectrogram 1	1	68.70287638	71.405481456	4009.1	6109.1	BTNW
60	Spectrogram 1	1	69.04434043399999	69.932736331	1458.6	3542.4	WOTH
61	Spectrogram 1	1	69.653526192	71.531848945	1534.4	3902.3	NOCA
62	Spectrogram 1	1	70.195428802	70.505154337	811.4	2434.1	RBWO
63	Spectrogram 1	1	70.863436794	71.83644182399999	3409.8	8751.8	AMRE
64	Spectrogram 1	1	71.484286675	71.868945808	1050.0	2481.8	RBWO
65	Spectrogram 1	1	72.182418471	72.960822495	1534.4	3656.1	WOTH
66	Spectrogram 1	1	72.584311853	74.40763867	2159.5	4906.3	KEWA
67	Spectrogram 1	1	73.853448848	75.20296452	1553.4	2727.8	NOCA
68	Spectrogram 1	1	74.361103646	75.511787856	1951.2	4375.9	SCTA
69	Spectrogram 1	1	75.31122888899999	75.965648972	2338.6	4390.9	WOTH
70	Spectrogram 1	1	77.017828965	78.70578116899999	3371.9	6005.0	BTNW
71	Spectrogram 1	1	77.863920295	79.822621725	1610.2	2860.4	NOCA
72	Spectrogram 1	1	77.893533492	78.710011625	3750.8	8732.9	AMRE
73	Spectrogram 1	1	79.505618235	80.689569072	3675.0	6920.5	BTNW
74	Spectrogram 1	1	80.618130482	81.032715234	1060.8	2254.3	RBWO
75	Spectrogram 1	1	80.829445121	81.518834216	1384.1	3913.6	WOTH
76	Spectrogram 1	1	81.60875453199999	82.40305066399999	1909.1	3818.2	WOTH
77	Spectrogram 1	1	82.653714963	85.407742243	2121.6	3807.6	SCTA
78	Spectrogram 1	1	83.817090542	85.868862018	1610.2	3030.9	NOCA
79	Spectrogram 1	1	84.011691548	85.780022428	1970.1	4944.2	KEWA
80	Spectrogram 1	1	85.970578874	86.989675797	1670.5	5106.8	WOTH
81	Spectrogram 1	1	86.565966567	87.49666703	3656.1	8751.8	AMRE
82	Spectrogram 1	1	88.084700505	89.700734946	3807.6	6042.9	BTNW
83	Spectrogram 1	1	88.94256240700001	91.70082014299999	1629.1	3902.3	NOCA
84	Spectrogram 1	1	89.167850841	89.922182387	1670.5	3484.1	WOTH
85	Spectrogram 1	1	91.896707762	92.73010772299999	1837.5	4394.8	WOTH
86	Spectrogram 1	1	91.968625525	93.089696538	2481.6	4167.5	SCTA
87	Spectrogram 1	1	93.01354831799999	93.965401065	1780.7	4375.9	WOTH
88	Spectrogram 1	1	94.401321007	95.39124786299999	3353.0	8676.0	AMRE
89	Spectrogram 1	1	94.643599045	95.053236044	1479.5	3197.7	WOTH
90	Spectrogram 1	1	95.006276308	96.905751345	1704.9	2993.0	NOCA
91	Spectrogram 1	1	95.767758505	97.358410206	3618.2	6042.9	BTNW
92	Spectrogram 1	1	96.605388922	97.89567820100001	2102.7	4963.1	KEWA
93	Spectrogram 1	1	97.62879055799999	98.03068394	966.1	1913.3	RBWO
94	Spectrogram 1	1	98.111062616	99.705944774	1970.1	3883.4	SCTA
95	Spectrogram 1	1	98.868314357	99.27866865200001	928.2	2026.9	RBWO
96	Spectrogram 1	1	99.727831888	103.027588076	2197.4	4034.9	SCTA
97	Spectrogram 1	1	100.090916329	100.518192451	1022.9	2178.5	RBWO
98	Spectrogram 1	1	100.233271872	100.977612271	1909.1	3770.5	WOTH
99	Spectrogram 1	1	100.32432627600001	101.022351624	1723.8	3864.4	WOTH
100	Spectrogram 1	1	101.157726236	101.800755647	1553.4	2765.7	WOTH
101	Spectrogram 1	1	101.749990168	102.553776931	3258.2	8884.4	AMRE
102	Spectrogram 1	1	102.29148861899999	103.750996164	1648.1	2993.0	NOCA
103	Spectrogram 1	1	102.88375255	104.969367679	3656.1	6024.0	BTNW
104	Spectrogram 1	1	103.801482274	104.371281327	1986.5	4966.2	REVI
105	Spectrogram 1	1	104.853119416	105.826125875	1761.7	4413.8	WOTH
106	Spectrogram 1	1	106.271800751	107.15601719899999	1431.8	5154.5	WOTH
107	Spectrogram 1	1	107.29740399200001	107.707758287	890.3	2197.4	RBWO
108	Spectrogram 1	1	108.155131829	108.944432387	1813.6	4438.6	WOTH
109	Spectrogram 1	1	108.80344656	109.192648571	890.3	2102.7	RBWO
110	Spectrogram 1	1	108.955742999	110.525242417	1970.1	4925.3	KEWA
111	Spectrogram 1	1	109.378788664	110.55062515700001	4565.3	8751.8	AMRE
112	Spectrogram 1	1	110.18257542799999	110.59716018	966.1	2102.7	RBWO
113	Spectrogram 1	1	110.44302360200001	111.21296671299999	1818.6	4091.8	WOTH
114	Spectrogram 1	1	111.170662146	113.23512499200001	1761.7	3731.8	SCTA
115	Spectrogram 1	1	111.19604488600001	111.98714028	1761.7	4262.2	WOTH
116	Spectrogram 1	1	111.52179004799999	112.689396084	3580.3	5758.8	BTNW
117	Spectrogram 1	1	113.907398725	114.19930023399999	1780.7	5190.5	REVI
118	Spectrogram 1	1	114.01739059799999	114.787333709	1534.4	3561.3	WOTH
119	Spectrogram 1	1	116.284915363	116.71642194200001	2292.1	4868.4	REVI
120	Spectrogram 1	1	116.85142768	117.353638122	1875.4	5870.5	WOTH
121	Spectrogram 1	1	117.26178197600001	118.17133015600001	3277.2	8789.7	AMRE
122	Spectrogram 1	1	117.663675357	118.16709969899999	1610.2	2765.7	WOTH
123	Spectrogram 1	1	118.602836734	119.038573769	2026.9	5455.7	REVI
124	Spectrogram 1	1	121.306097076	121.902591463	1723.8	4243.3	WOTH
125	Spectrogram 1	1	121.642325911	122.061141119	814.6	1723.8	RBWO
126	Spectrogram 1	1	121.78836913399999	122.12680566600001	1970.1	4622.2	REVI
127	Spectrogram 1	1	121.839134614	123.315563985	1989.0	4906.3	KEWA
128	Spectrogram 1	1	123.12261700799999	125.745500131	1742.8	4091.8	SCTA
129	Spectrogram 1	1	124.26060984700001	125.263228073	3466.6	8808.6	AMRE
130	Spectrogram 1	1	127.25374865200001	128.438276514	1515.5	3258.2	WOTH
131	Spectrogram 1	1	127.711189609	128.22730532	885.8	1884.6	RBWO
132	Spectrogram 1	1	128.59480341	128.954392226	1913.3	4508.5	REVI
133	Spectrogram 1	1	128.853412905	129.399141813	923.5	1884.6	RBWO
134	Spectrogram 1	1	129.29687442	130.172578947	2581.9	5050.8	EATO
135	Spectrogram 1	1	130.016788484	130.477908259	885.8	1922.3	RBWO
136	Spectrogram 1	1	130.379871323	131.292047416	1394.6	6395.5	WOTH
137	Spectrogram 1	1	130.950982971	133.370804176	2336.9	3825.8	SCTA
138	Spectrogram 1	1	131.945140284	132.744696591	3448.8	8876.5	AMRE
139	Spectrogram 1	1	134.752690778	136.22912014899998	2148.5	4975.4	KEWA
140	Spectrogram 1	1	134.966796894	135.33646930700002	1479.5	3436.4	WOTH
141	Spectrogram 1	1	136.73327932200002	137.685132069	1903.5	4315.8	WOTH
142	Spectrogram 1	1	137.467081256	138.36128885	6204.5	9354.5	BBWA
143	Spectrogram 1	1	137.894202761	138.403751222	3054.5	4295.5	WOTH
144	Spectrogram 1	1	138.581620005	140.20188490200002	1470.0	3241.5	WOTH
145	Spectrogram 1	1	140.577659111	142.646352414	1865.8	4221.5	SCTA
146	Spectrogram 1	1	141.639385143	142.064008861	1097.7	1909.1	RBWO
147	Spectrogram 1	1	142.684426524	143.720888403	3090.8	8763.5	AMRE
148	Spectrogram 1	1	143.055844319	143.440503452	811.4	2243.2	RBWO
149	Spectrogram 1	1	144.478323051	145.392101688	3203.8	4278.1	BCCH
150	Spectrogram 1	1	145.370949405	146.14935342799998	1752.7	3015.4	WOTH
151	Spectrogram 1	1	146.686302143	147.29779381	1986.5	4668.2	REVI
152	Spectrogram 1	1	146.708508395	147.647669772	1545.4	2845.8	WOTH
153	Spectrogram 1	1	147.584212922	149.111407773	2468.8	4956.5	KEWA
154	Spectrogram 1	1	148.616119525	149.27053960700002	6920.5	9640.9	BBWA
155	Spectrogram 1	1	149.197119153	150.089745506	1790.4	4089.6	WOTH
156	Spectrogram 1	1	150.470486605	150.84699724700002	2299.2	5427.7	REVI
157	Spectrogram 1	1	151.847223554	152.27873013200002	904.6	1846.9	RBWO
158	Spectrogram 1	1	153.454797081	153.85669046299998	1093.1	1978.8	RBWO
159	Spectrogram 1	1	153.67901128399998	154.085135122	2016.5	5616.2	REVI
160	Spectrogram 1	1	154.512411244	155.438881251	3260.4	8669.2	AMRE
161	Spectrogram 1	1	154.709402426	156.52003787200002	1809.2	4014.2	SCTA
162	Spectrogram 1	1	156.866935318	158.233372816	1846.9	4353.5	WOTH
163	Spectrogram 1	1	157.615726145	158.97793318700002	3995.4	7086.2	BTNW
164	Spectrogram 1	1	158.72631174	160.401572574	1696.2	3976.5	BAOR
165	Spectrogram 1	1	161.70473613	162.504292437	1526.5	3203.8	WOTH
166	Spectrogram 1	1	162.504292437	162.813115773	1997.7	4900.0	REVI
167	Spectrogram 1	1	162.935799016	163.693050756	1658.5	3561.9	WOTH
168	Spectrogram 1	1	163.443453814	164.924113642	1922.3	4918.8	KEWA
169	Spectrogram 1	1	164.48524839700002	166.080130555	1809.2	4165.0	SCTA
170	Spectrogram 1	1	165.98706050799998	166.828921382	1470.0	4146.2	WOTH
171	Spectrogram 1	1	167.696164995	168.538025869	3524.2	8688.1	AMRE
172	Spectrogram 1	1	167.721547735	169.558668169	1752.7	3731.5	BAOR
173	Spectrogram 1	1	170.68140209700002	170.945455317	4966.2	6456.1	RBGR
174	Spectrogram 1	1	171.335459963	171.695048778	2091.9	5239.2	REVI
175	Spectrogram 1	1	173.538055155	175.03563681	1809.2	3656.2	WOTH
176	Spectrogram 1	1	175.23869872900002	175.50521749799995	1865.8	5201.5	REVI
177	Spectrogram 1	1	176.19441305799995	177.154726718	3316.9	8688.1	AMRE
178	Spectrogram 1	1	176.88820794900002	177.573541927	1375.8	3505.4	WOTH
179	Spectrogram 1	1	177.954283025	179.40109919999998	1978.8	4937.7	KEWA
180	Spectrogram 1	1	179.236294298	180.907324675	1696.2	4165.0	SCTA
181	Spectrogram 1	1	181.52497134599997	182.045317514	1809.2	6219.2	REVI
182	Spectrogram 1	1	183.71689821400003	184.54183726099998	3712.7	8914.2	AMRE
183	Spectrogram 1	1	186.17608014200002	189.175473907	1715.0	4202.7	SCTA
184	Spectrogram 1	1	186.332607038	186.819109553	923.5	1601.9	RBWO
185	Spectrogram 1	1	186.33960015099998	187.020579508	2185.1	4966.2	AMGO
186	Spectrogram 1	1	187.38599074400003	187.855571432	1149.6	1903.5	RBWO
187	Spectrogram 1	1	188.794732809	189.20508710400003	1017.7	1865.8	RBWO
188	Spectrogram 1	1	190.23474209900002	190.87777151	1639.6	4353.5	REVI
189	Spectrogram 1	1	191.66463644700002	193.153757188	2091.9	5013.1	KEWA
190	Spectrogram 1	1	192.954004927	193.918549044	3561.9	8688.1	AMRE
191	Spectrogram 1	1	194.227372379	194.92116727	1790.4	5578.5	REVI
192	Spectrogram 1	1	197.230996571	197.594815843	1319.2	5540.8	REVI
193	Spectrogram 1	1	197.599046299	198.720117312	1828.1	3731.5	WOTH
194	Spectrogram 1	1	199.088167041	199.93002791400002	1564.2	3561.9	WOTH
195	Spectrogram 1	1	199.189698	199.667739602	2186.2	5408.8	REVI
196	Spectrogram 1	1	200.96225787900002	201.85065377599997	1375.8	3524.2	WOTH
197	Spectrogram 1	1	202.396772153	203.430855795	1861.4	3961.4	WOTH
198	Spectrogram 1	1	202.511339845	202.875159117	2374.6	5653.8	REVI
199	Spectrogram 1	1	203.612481849	204.661552211	1336.4	4056.8	EATO
200	Spectrogram 1	1	203.903160083	204.673103193	3486.5	8801.2	AMRE
201	Spectrogram 1	1	205.070766119	205.54880772	1658.5	4692.7	REVI
202	Spectrogram 1	1	205.50650315400003	206.982932525	1903.5	4937.7	KEWA
203	Spectrogram 1	1	207.034376708	207.603872048	1861.4	6252.3	EATO
204	Spectrogram 1	1	207.475319525	208.126809849	1941.2	4636.2	REVI
205	Spectrogram 1	1	207.980852256	208.38549368099999	1002.3	1956.8	RBWO
206	Spectrogram 1	1	209.17479423900002	209.59941795700001	763.6	1813.6	RBWO
207	Spectrogram 1	1	209.82322296599997	210.220885892	2186.2	5465.4	REVI
208	Spectrogram 1	1	209.937445296	210.944293979	3392.3	8763.5	AMRE
209	Spectrogram 1	1	210.66761351099998	211.541838812	1431.8	3197.7	WOTH
210	Spectrogram 1	1	212.03151988	213.161051806	1733.8	3656.2	WOTH
211	Spectrogram 1	1	212.22311314200002	213.07735615099998	6252.3	9163.6	BBWA
212	Spectrogram 1	1	213.29642641900003	215.66971260000003	1375.8	4579.6	SCTA
213	Spectrogram 1	1	215.070932318	215.505547183	715.9	1956.8	RBWO
214	Spectrogram 1	1	216.194936278	216.704484739	859.1	2052.3	RBWO
215	Spectrogram 1	1	217.255580462	218.237046405	3543.1	8801.2	AMRE
216	Spectrogram 1	1	217.72516115	218.122824075	1809.2	4240.4	REVI
217	Spectrogram 1	1	219.03660271200002	220.55533665	1620.8	5013.1	KEWA
218	Spectrogram 1	1	219.35388696099997	220.178826008	1752.7	3637.3	WOTH
219	Spectrogram 1	1	222.01415682799998	223.387939445	4390.9	5106.8	BTNW
220	Spectrogram 1	1	222.483740705	223.79757644400001	1431.8	7015.9	WOTH
221	Spectrogram 1	1	222.485956875	223.749836883	1813.6	4152.3	EATO
222	Spectrogram 1	1	223.889302448	224.93422524099998	3430.0	8857.7	AMRE
223	Spectrogram 1	1	224.392357915	224.832325407	923.5	2035.4	RBWO
224	Spectrogram 1	1	225.289214725	225.69533856400002	1828.1	4014.2	REVI
225	Spectrogram 1	1	225.526120298	225.96608779	942.3	2129.6	RBWO
226	Spectrogram 1	1	226.152227882	227.89094556599997	1771.5	4146.2	WOTH
227	Spectrogram 1	1	226.87140551299998	227.281759808	980.0	2091.9	RBWO
228	Spectrogram 1	1	227.941711046	228.47474858400003	2299.2	5239.2	REVI
229	Spectrogram 1	1	228.86781217799998	229.608142092	1394.6	3505.4	WOTH
230	Spectrogram 1	1	229.096256837	231.439929822	1865.8	4240.4	SCTA
231	Spectrogram 1	1	231.770088348	232.163520817	2393.5	5691.5	REVI
232	Spectrogram 1	1	232.97576849400002	234.456428322	2374.6	4975.4	KEWA
233	Spectrogram 1	1	234.591985842	234.90503963400002	1960.0	5578.5	REVI
234	Spectrogram 1	1	234.86696552400002	235.869583751	3731.5	8763.5	AMRE
235	Spectrogram 1	1	234.895778015	235.26545042799998	620.5	2004.5	RBWO
236	Spectrogram 1	1	236.03457156	236.751381345	1413.5	3579.5	WOTH
237	Spectrogram 1	1	237.291017185	237.807132897	2110.8	5258.1	REVI
238	Spectrogram 1	1	237.88585434200002	238.78694160900002	3090.8	3825.8	BCCH
239	Spectrogram 1	1	238.392916351	239.16223461599998	1909.1	3865.9	WOTH
240	Spectrogram 1	1	239.235370014	240.161840021	1507.7	3656.2	WOTH
241	Spectrogram 1	1	240.76953874900002	241.788635672	1622.7	4677.3	EATO
242	Spectrogram 1	1	241.49443386599998	241.934401357	1846.9	4541.9	REVI
243	Spectrogram 1	1	243.637802665	244.699647285	3844.6	8782.3	AMRE
244	Spectrogram 1	1	244.21314477	244.572733585	1696.2	4994.2	REVI
245	Spectrogram 1	1	245.53333448400002	246.822192357	1670.5	4295.5	EATO
246	Spectrogram 1	1	245.78227531299999	246.277238742	942.3	1828.1	RBWO
247	Spectrogram 1	1	246.125311176	246.603352778	2242.7	5503.1	REVI
248	Spectrogram 1	1	246.916037696	247.38561838400003	848.1	2148.5	RBWO
249	Spectrogram 1	1	247.26293514099999	248.92973506200002	2186.2	5013.1	KEWA
250	Spectrogram 1	1	248.283508309	249.07780444	2004.5	3197.7	WOTH
251	Spectrogram 1	1	249.107414241	249.35701118400002	2355.8	5521.9	REVI
252	Spectrogram 1	1	249.830453455	251.14612547299998	1225.0	3675.0	WOTH
253	Spectrogram 1	1	250.173120443	251.18843004	3373.5	8820.0	AMRE
254	Spectrogram 1	1	252.818994387	253.18704411599998	2242.7	5107.3	REVI
255	Spectrogram 1	1	254.74395694400002	256.117739561	3102.3	4486.4	EATO
256	Spectrogram 1	1	255.375292452	256.119852822	1658.5	2657.3	WOTH
257	Spectrogram 1	1	256.002319233	256.429595355	1036.5	1846.9	RBWO
258	Spectrogram 1	1	256.047935059	256.50905483400004	1922.3	4655.0	REVI
259	Spectrogram 1	1	256.356758395	257.308611141	3034.2	8838.8	AMRE
260	Spectrogram 1	1	257.216460292	257.71988463400004	1017.7	2091.9	RBWO
261	Spectrogram 1	1	258.350222675	259.204774918	1601.9	3561.9	WOTH
262	Spectrogram 1	1	259.36093294	260.582418668	1696.2	4629.5	EATO
263	Spectrogram 1	1	260.054727831	260.524308519	2393.5	5898.8	REVI
264	Spectrogram 1	1	261.50577446200003	262.96105155	1790.4	4937.7	KEWA
265	Spectrogram 1	1	261.558930261	264.004134205	1752.7	4165.0	SCTA
266	Spectrogram 1	1	262.982423692	263.541927885	1622.7	3054.5	WOTH
267	Spectrogram 1	1	263.636084476	264.596398136	3448.8	8857.7	AMRE
268	Spectrogram 1	1	263.712232696	264.046438772	1658.5	5239.2	REVI
